Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Andorra,42.5063,1.5218,2020-03-11,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-10,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-09,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-08,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-07,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-06,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-05,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-04,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-03,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-02,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-01,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-29,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-28,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-27,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-26,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-25,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-24,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-23,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-22,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-21,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-20,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-19,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-18,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-17,0,AND,150,39,
,Andorra,42.5063,1.5218,2020-02-16,0,AND,150,39,
